,Track URI,Track Name,Artist URI(s),Artist Name(s),Album URI,Album Name,Album Artist URI(s),Album Artist Name(s),Album Release Date,Album Image URL,Disc Number,Track Number,Track Duration (ms),Track Preview URL,Explicit,Popularity,ISRC,Added By,Added At
532,spotify:track:1XwX3sga51wcMTWilFsmq1,I See You,"spotify:artist:6bTG3OP5laBeEb27xgfoqT, spotify:artist:2hMyfhXffc8i7BJjZHZWvt","Gavin Moss, SoundKid",spotify:album:4ePx0TFE05UMh5YCAo8niw,Rollercoaster,spotify:artist:6bTG3OP5laBeEb27xgfoqT,Gavin Moss,2023-05-26,https://i.scdn.co/image/ab67616d0000b2731785a440e5f7032ade982dbd,1,5,196077,https://p.scdn.co/mp3-preview/78f90b3f3d1da87a8fdccc41b3b7553f88f799f8?cid=9950ac751e34487dbbe027c4fd7f8e99,False,27,ES7002362103,spotify:user:455wdr9yh02q4qf3f21hqtpgf,2023-08-18T10:53:41Z
533,spotify:track:112LTYjXjgTte7ypdf7zyP,Weight Of Falling,"spotify:artist:0N5xjvZDyBf8kGuYCBJNJz, spotify:artist:1qo3qvulyeKNNWjFCPXwwb","Jako Diaz, LeyeT",spotify:album:5ooEV7twtg1l67XRPz6zNa,Weight Of Falling,"spotify:artist:0N5xjvZDyBf8kGuYCBJNJz, spotify:artist:1qo3qvulyeKNNWjFCPXwwb","Jako Diaz, LeyeT",2023-05-11,https://i.scdn.co/image/ab67616d0000b273c4431c0bda3045b5943a42ab,1,1,216198,https://p.scdn.co/mp3-preview/8d69d42fa43c44782bdf73b71a5a75ad5f4bac80?cid=9950ac751e34487dbbe027c4fd7f8e99,False,39,NLT2H2300310,spotify:user:455wdr9yh02q4qf3f21hqtpgf,2023-08-18T10:53:41Z
534,spotify:track:0yAUuXv61YR5CLDqg3g7jj,Zombie,"spotify:artist:0ClVe54tk9xP1FBVdFWnWi, spotify:artist:1VF2jmv5aWGszBtIVPt2fT, spotify:artist:3msbM40j3i96Q6xToNa28Y","Paratone, Shoby, Eight Waters",spotify:album:3ldz317dQePhm8cFS6yCUV,Zombie,"spotify:artist:0ClVe54tk9xP1FBVdFWnWi, spotify:artist:1VF2jmv5aWGszBtIVPt2fT, spotify:artist:3msbM40j3i96Q6xToNa28Y","Paratone, Shoby, Eight Waters",2023-03-23,https://i.scdn.co/image/ab67616d0000b273af2c1b07cefae651a4f0682b,1,1,142904,https://p.scdn.co/mp3-preview/4727350cc2f201870c0a77dc57d225ab06f4eb33?cid=9950ac751e34487dbbe027c4fd7f8e99,False,46,NLT2H2300091,spotify:user:455wdr9yh02q4qf3f21hqtpgf,2023-08-18T10:53:41Z
535,spotify:track:3zdSNTtztFL3wkNzEpBlbZ,Out Loud,spotify:artist:3xkGLkIacZeEl0tXUAWtT5,Michel Dj,spotify:album:0j2MDt3l8unT3xGmWGYs8t,Out Loud,spotify:artist:3xkGLkIacZeEl0tXUAWtT5,Michel Dj,2020-02-24,https://i.scdn.co/image/ab67616d0000b273cf19ebb74997a4938ad42cb9,1,1,165000,https://p.scdn.co/mp3-preview/7fd9b7c0698a5adf580c45c88dc7ebc7f448ee71?cid=9950ac751e34487dbbe027c4fd7f8e99,False,27,QZFZ52003774,spotify:user:455wdr9yh02q4qf3f21hqtpgf,2023-08-18T10:53:41Z
536,spotify:track:2fvhV6sto6aEblNbnZmttv,Twilight,"spotify:artist:4hheW577K2nAMAwDuTGAA4, spotify:artist:6qxvo887cuQQjfMEtyE0v7","Luca, NVRT",spotify:album:7mtiizlT8Gub2HvVSU0NHZ,Twilight,"spotify:artist:4hheW577K2nAMAwDuTGAA4, spotify:artist:6qxvo887cuQQjfMEtyE0v7","Luca, NVRT",2020-11-20,https://i.scdn.co/image/ab67616d0000b2731937ce29294f419f8244f181,1,1,202656,https://p.scdn.co/mp3-preview/bcc00cf698e5b8fc5d011c5a57be3692b9d381a3?cid=9950ac751e34487dbbe027c4fd7f8e99,False,57,FRS182057555,spotify:user:455wdr9yh02q4qf3f21hqtpgf,2023-08-18T10:53:41Z
537,spotify:track:1icgSRga7q37rC4eftEQG3,Gonna Need Ya,"spotify:artist:5SZUMeZ1O9tcgkSkkx1dFy, spotify:artist:37QVcCngKZe0gZxD8b7zgJ, spotify:artist:33hQWzFmVnYt5eAbSf61Kw","Viva La Panda, Tyron Dixon, Rachelle Jenkens",spotify:album:2BwqUHvTGXvDaQK9awOt9B,Gonna Need Ya,"spotify:artist:5SZUMeZ1O9tcgkSkkx1dFy, spotify:artist:37QVcCngKZe0gZxD8b7zgJ, spotify:artist:33hQWzFmVnYt5eAbSf61Kw","Viva La Panda, Tyron Dixon, Rachelle Jenkens",2022-06-09,https://i.scdn.co/image/ab67616d0000b27389e81e55c89466c050aafcdf,1,1,178514,https://p.scdn.co/mp3-preview/9012145b78f55b3c053b7685e02e7db2a781de1f?cid=9950ac751e34487dbbe027c4fd7f8e99,False,48,NLT2H2200365,spotify:user:455wdr9yh02q4qf3f21hqtpgf,2023-08-18T10:53:41Z
538,spotify:track:7u0lV6ZS6IzqpWt7GoJEvg,So Good To Me - Radio Edit,spotify:artist:5UVzX8pQe6bb5ueNdfViih,Chris Malinchak,spotify:album:67XCgRpDrGHQS1tLnYaTGD,So Good To Me,spotify:artist:5UVzX8pQe6bb5ueNdfViih,Chris Malinchak,2013-05-08,https://i.scdn.co/image/ab67616d0000b273026d8ad2f8fb49c6b5c36916,1,1,158677,,False,51,GBCEN1300221,spotify:user:455wdr9yh02q4qf3f21hqtpgf,2023-08-18T10:53:41Z
539,spotify:track:1QDfa76GouFESAc6e9xI7l,Ask,"spotify:artist:62G1LvBKkkl7sLHqrGbAcp, spotify:artist:1vWOhY2gsar5XKVJqBfdrh","Dual Sessions, Style Project",spotify:album:4FkzJu0EGu2Y5zz7XQpQQD,Ask,"spotify:artist:62G1LvBKkkl7sLHqrGbAcp, spotify:artist:1vWOhY2gsar5XKVJqBfdrh","Dual Sessions, Style Project",2022-02-18,https://i.scdn.co/image/ab67616d0000b2732944f76f912b7cf4ea846de5,1,1,140826,https://p.scdn.co/mp3-preview/2a1371e09e33b56288372206caa1098f86a4382e?cid=9950ac751e34487dbbe027c4fd7f8e99,False,52,ARF412200047,spotify:user:455wdr9yh02q4qf3f21hqtpgf,2023-08-18T10:53:41Z
540,spotify:track:4xhpJoHBX3MN7SKkfGjCZU,No Matter Where,"spotify:artist:0VGxVDRb7Ut8eN2xL7kVXi, spotify:artist:3TjFefusAoJFMiB3hrsRDE, spotify:artist:7ErksWhMMsmGtgT1l1e159","Michael FAY, Brendan Mills, Britt Lari",spotify:album:1buhmZffcDbvHUa47jjRnH,No Matter Where,"spotify:artist:0VGxVDRb7Ut8eN2xL7kVXi, spotify:artist:3TjFefusAoJFMiB3hrsRDE, spotify:artist:7ErksWhMMsmGtgT1l1e159","Michael FAY, Brendan Mills, Britt Lari",2022-08-12,https://i.scdn.co/image/ab67616d0000b2734ef9dba6c3b05b73371deb80,1,1,172420,,False,39,QM6N22294925,spotify:user:455wdr9yh02q4qf3f21hqtpgf,2023-08-18T10:53:41Z
541,spotify:track:4apEnDiLLnd08bgHzp1BRK,Love The Way You Lie,spotify:artist:0odPXKGYqtTpiWJFBhqyVB,Braaten,spotify:album:1jxoOlBzZJ85bQbDyJAlmW,Love The Way You Lie,spotify:artist:0odPXKGYqtTpiWJFBhqyVB,Braaten,2022-08-18,https://i.scdn.co/image/ab67616d0000b2734a8cc3883c4d4835b72e3f38,1,1,152968,https://p.scdn.co/mp3-preview/760b702e02ea71ffb7acea253bb2d15b02e47516?cid=9950ac751e34487dbbe027c4fd7f8e99,False,42,NLT2H2200571,spotify:user:455wdr9yh02q4qf3f21hqtpgf,2023-08-18T10:53:41Z
