"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:5JHREaHmnVSbPPUxwhstVj","Heatwave","spotify:artist:7KigP1NA8s7IiVIxP5ndwJ","Revelries","spotify:album:2ZpVhjn5DR7du8Pzv47oyJ","Heatwave","spotify:artist:7KigP1NA8s7IiVIxP5ndwJ","Revelries","2021-07-16","https://i.scdn.co/image/ab67616d0000b273dcaedaadc958752eb3cb0628","1","1","161194","https://p.scdn.co/mp3-preview/6aff79385145572bab9b2badfed37c2a1a3fbfce?cid=9950ac751e34487dbbe027c4fd7f8e99","false","54","SE6SA2153297","spotify:user:32640okyy4uys55uzphqy10cl","2022-06-21T21:06:59Z"
"spotify:track:5Hp4xFihdOE2dmDzxWcBFb","All By Myself","spotify:artist:0NGAZxHanS9e0iNHpR8f2W, spotify:artist:1IueXOQyABrMOprrzwQJWN, spotify:artist:0X2BH1fck6amBIoJhDVmmJ","Alok, Sigala, Ellie Goulding","spotify:album:3lAmnw0gNntYuTltwETnSn","All By Myself","spotify:artist:0NGAZxHanS9e0iNHpR8f2W, spotify:artist:1IueXOQyABrMOprrzwQJWN, spotify:artist:0X2BH1fck6amBIoJhDVmmJ","Alok, Sigala, Ellie Goulding","2022-10-07","https://i.scdn.co/image/ab67616d0000b273aaf796449ef2b13ba82353bb","1","1","171747","https://p.scdn.co/mp3-preview/6834d61fadf756a4373f1a0b7f2fbc59678076a7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","78","DEE862201655","spotify:user:32640okyy4uys55uzphqy10cl","2022-10-29T22:38:41Z"
"spotify:track:13bqIXhqn4NjGLNtFotciJ","Never Giving Up","spotify:artist:7FNA36ZmHzr9QkZJcQjYcO, spotify:artist:0VJqEAN7vlJ2hhtBgRNv41, spotify:artist:7uXJKN6U0eK8uWOdKAUNkP, spotify:artist:3YQF7t0kACIBGuB8gXvpI4","Foínix, Æj, just Fede, Schmorgle","spotify:album:4dAe0LkEfshIkSkNlVMLrD","Never Giving Up","spotify:artist:7FNA36ZmHzr9QkZJcQjYcO, spotify:artist:7uXJKN6U0eK8uWOdKAUNkP, spotify:artist:0VJqEAN7vlJ2hhtBgRNv41","Foínix, just Fede, Æj","2023-08-11","https://i.scdn.co/image/ab67616d0000b2735ec174d8acbb4e5852c103f8","1","1","155892","https://p.scdn.co/mp3-preview/5e2d07965c716ce2c31a6c42eb9406d68a447c75?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","GX8KD2365172","spotify:user:32640okyy4uys55uzphqy10cl","2023-08-10T17:20:51Z"
"spotify:track:00MeJ59gj8sxTr8aPYrDrc","Be There","spotify:artist:3vlH5PSk5GSm61lfafSPAl, spotify:artist:05qvZreQgj82j4gXKT6K0T, spotify:artist:3NLFKv17mDCARVJdf3a2s4","Lone Tusker, Robbie Hutton, Mariline","spotify:album:4TJpygZwtvrv0mecGR0RMj","Be There","spotify:artist:3vlH5PSk5GSm61lfafSPAl, spotify:artist:3NLFKv17mDCARVJdf3a2s4, spotify:artist:05qvZreQgj82j4gXKT6K0T","Lone Tusker, Mariline, Robbie Hutton","2023-06-30","https://i.scdn.co/image/ab67616d0000b2731060aec64080ba1bfc2a6af6","1","1","161612","https://p.scdn.co/mp3-preview/797ed81feb45259a00af74c37ffb82b1b434d9fc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","SE6QE2359843","spotify:user:32640okyy4uys55uzphqy10cl","2023-06-29T17:40:06Z"
"spotify:track:5hLLfef9BDR4vmRWOYtmwk","With A Little Help From My Friends","spotify:artist:2KwoAuL8klb3EU3ayrPgQu, spotify:artist:6WhabHAnf9RpSa3b24CvPG, spotify:artist:1PwVn639uS6OI0O2G74pAo","Pinkloud, Snoozegod, EMI","spotify:album:7rAHpd0MVKrFXsHANOvFcs","With A Little Help From My Friends","spotify:artist:2KwoAuL8klb3EU3ayrPgQu, spotify:artist:1PwVn639uS6OI0O2G74pAo, spotify:artist:6WhabHAnf9RpSa3b24CvPG","Pinkloud, EMI, Snoozegod","2022-10-28","https://i.scdn.co/image/ab67616d0000b273c85ec98ce7a380048cbe688d","1","1","155538","https://p.scdn.co/mp3-preview/33c4782e8d5f427bde8b5d27e64361981ebe0571?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","SE62M2206959","spotify:user:32640okyy4uys55uzphqy10cl","2022-10-27T21:55:23Z"
"spotify:track:1WCEAGGRD066z2Q89ObXTq","Crazy What Love Can Do","spotify:artist:1Cs0zKBU1kc0i8ypK3B9ai, spotify:artist:4EPJlUEBy49EX1wuFOvtjK, spotify:artist:7nDsS0l5ZAzMedVRKPP8F1","David Guetta, Becky Hill, Ella Henderson","spotify:album:0GnxssqYa2RU9EdWHhZ707","Crazy What Love Can Do","spotify:artist:1Cs0zKBU1kc0i8ypK3B9ai, spotify:artist:4EPJlUEBy49EX1wuFOvtjK, spotify:artist:7nDsS0l5ZAzMedVRKPP8F1","David Guetta, Becky Hill, Ella Henderson","2022-04-08","https://i.scdn.co/image/ab67616d0000b273654c0a1cb2c30dd8e11c0186","1","1","169756","https://p.scdn.co/mp3-preview/fdb85e5b7fa3838d29e9909819ec82ed9da757dd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","81","UKWLG2200001","spotify:user:32640okyy4uys55uzphqy10cl","2022-06-21T21:06:59Z"
"spotify:track:3YhC7xNiXH1j74scjwrcCh","Bloom","spotify:artist:3vlH5PSk5GSm61lfafSPAl","Lone Tusker","spotify:album:5Beifycac6fGBrxx61VKz5","Bloom","spotify:artist:3vlH5PSk5GSm61lfafSPAl","Lone Tusker","2022-03-25","https://i.scdn.co/image/ab67616d0000b273c403fee96d9de93acefc2860","1","1","151636","https://p.scdn.co/mp3-preview/d8bffaca335ce780884164d5f508e7585e710006?cid=9950ac751e34487dbbe027c4fd7f8e99","false","56","SE6HN2228702","spotify:user:32640okyy4uys55uzphqy10cl","2022-06-21T21:06:59Z"
"spotify:track:6Dy1jexKYriXAVG6evyUTJ","OUT OUT (feat. Charli XCX & Saweetie)","spotify:artist:6DgP9otnZw5z6daOntINxp, spotify:artist:4Q6nIcaBED8qUel8bBx6Cr, spotify:artist:25uiPmTg16RbhZWAqwLBy5, spotify:artist:6cK3NBO6uP7hh0oyuVELFl","Joel Corry, Jax Jones, Charli XCX, Saweetie","spotify:album:5wJb3DBSoSMKYJA8TrNKi8","OUT OUT (feat. Charli XCX & Saweetie)","spotify:artist:6DgP9otnZw5z6daOntINxp, spotify:artist:4Q6nIcaBED8qUel8bBx6Cr, spotify:artist:25uiPmTg16RbhZWAqwLBy5","Joel Corry, Jax Jones, Charli XCX","2021-08-13","https://i.scdn.co/image/ab67616d0000b2730abb7463b44d1be6243642f4","1","1","162603","https://p.scdn.co/mp3-preview/67d7d482ebf4bd1694d4e60c4a47f604880ab98a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","80","UK4ZF2100518","spotify:user:32640okyy4uys55uzphqy10cl","2022-06-21T21:06:59Z"
"spotify:track:39cmB3ZoTOLwOTq7tMNqKa","Hear Me Now","spotify:artist:0NGAZxHanS9e0iNHpR8f2W, spotify:artist:7qPLO2XOUaRrRxkvLZ3AEK, spotify:artist:5veVxxPm1vzgi6pO2iVA8L","Alok, Zeeba, Bruno Martini","spotify:album:6fpsA5aYbVNLe6y3P49o2o","Hear Me Now (feat. Zeeba)","spotify:artist:0NGAZxHanS9e0iNHpR8f2W, spotify:artist:7qPLO2XOUaRrRxkvLZ3AEK, spotify:artist:5veVxxPm1vzgi6pO2iVA8L","Alok, Zeeba, Bruno Martini","2016-10-21","https://i.scdn.co/image/ab67616d0000b2731f57e82299920d9eba745182","1","1","194840","https://p.scdn.co/mp3-preview/151aeb3d0042d464afa60476c271b5f1abda1ed6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","78","NLZ541600800","spotify:user:32640okyy4uys55uzphqy10cl","2023-02-06T21:03:13Z"
"spotify:track:7AhRIVzw2vKUkiA5nLheVj","Riptide","spotify:artist:4RmAlZapfAsWhj2k1pHsKe","Saxena","spotify:album:7HtWRkP5C3JxRTyKDV6o2Q","Riptide","spotify:artist:4RmAlZapfAsWhj2k1pHsKe","Saxena","2022-10-07","https://i.scdn.co/image/ab67616d0000b27394c602d4aff9573dc49d9879","1","1","152181","https://p.scdn.co/mp3-preview/3b65ab41ecb07690f9ceeb331f1e1811766bf050?cid=9950ac751e34487dbbe027c4fd7f8e99","false","53","SE6XY2240342","spotify:user:32640okyy4uys55uzphqy10cl","2022-10-06T21:41:47Z"
