"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:6B9fEj26l33TCgMr7MVaqa","Ain't So","spotify:artist:66rDbD3tWR3M1uNuIaDAGx","JGrrey","spotify:album:5ycDVrPI1GTwzREAEAuspT","Ain't So","spotify:artist:66rDbD3tWR3M1uNuIaDAGx","JGrrey","2020-06-26","https://i.scdn.co/image/ab67616d0000b273a0106b18299f9beb18a6fae0","1","1","211000","https://p.scdn.co/mp3-preview/30f04d01ebcfbaec7cc46e006789b26067852704?cid=9950ac751e34487dbbe027c4fd7f8e99","false","38","QM6N22029831","spotify:user:","2023-08-15T10:05:21Z"
"spotify:track:08rLDN1SOlN7MWTYlkaWfX","Say It.","spotify:artist:5rBFU1rhgs1nNghopuj9k8, spotify:artist:2FwDTncULUnmANIh7qKa5z","((( O ))), FKJ","spotify:album:3Oek1SjcuXDich2rfbRipZ","((( 2 )))","spotify:artist:5rBFU1rhgs1nNghopuj9k8","((( O )))","2020-08-27","https://i.scdn.co/image/ab67616d0000b273ff7cbaa8e76a53cd8567b94a","1","6","199567","https://p.scdn.co/mp3-preview/6a8f5a0346fc004f27f808f8108bbc2070360d52?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","GBKPL2016785","spotify:user:","2023-08-15T10:05:21Z"
"spotify:track:12eyxtPAkRu24In2iftPEp","Isn't It So Convenient","spotify:artist:7tr9pbgNEKtG0GQTKe08Tz","Mk.gee","spotify:album:3m0PIFv2mh0ytlTroWklbd","A Museum Of Contradiction","spotify:artist:7tr9pbgNEKtG0GQTKe08Tz","Mk.gee","2020-05-22","https://i.scdn.co/image/ab67616d0000b273a7e961749d530e3957afcd72","1","7","226749","https://p.scdn.co/mp3-preview/7f6c4333b2e14bdaf632097fb25a5ba018c90874?cid=9950ac751e34487dbbe027c4fd7f8e99","false","37","USUM72010304","spotify:user:","2023-08-15T10:05:21Z"
"spotify:track:1w51c5zq4Wr2jgGGBeeSbW","No Love Song","spotify:artist:2UZjIISzcezFJLo0ngik2Z","Children of Zeus","spotify:album:3wur4O6bZGh647ZJzXSsct","No Love Song","spotify:artist:2UZjIISzcezFJLo0ngik2Z","Children of Zeus","2021-04-23","https://i.scdn.co/image/ab67616d0000b273a468bc224774d05a290d4332","1","1","239173","https://p.scdn.co/mp3-preview/64825380f1b48b43250956ec8dab41d92fccdc4c?cid=9950ac751e34487dbbe027c4fd7f8e99","true","32","GBMCZ0601543","spotify:user:","2023-08-15T10:05:21Z"
"spotify:track:60PEr9wAeoxZVq4hlghO2v","Earth","spotify:artist:34KgepLllQVW6H6jP2VyGs, spotify:artist:2rU7KE2i8oX5KkypkVOCUA","Tayyib Ali, Golvendans","spotify:album:5W95cqIjBFCGwIqaKKsQOD","Earth","spotify:artist:34KgepLllQVW6H6jP2VyGs, spotify:artist:2rU7KE2i8oX5KkypkVOCUA","Tayyib Ali, Golvendans","2023-03-10","https://i.scdn.co/image/ab67616d0000b273ca49f5d53e603f147c6d66a7","1","1","170689","https://p.scdn.co/mp3-preview/cb13f1703158c55449a5be18e950566804b06fba?cid=9950ac751e34487dbbe027c4fd7f8e99","true","25","NL7DA2300015","spotify:user:","2023-08-15T10:05:21Z"
"spotify:track:6Dsz2y35zOt5XRw1TbVgbF","Give me time","spotify:artist:44drVL4jbdo6T6llD5cMgx","McClenney","spotify:album:09Uyj0lcbXUL2FzIiA3NSE","On A Virgo Mind","spotify:artist:44drVL4jbdo6T6llD5cMgx","McClenney","2021-08-13","https://i.scdn.co/image/ab67616d0000b273606e83064cac941d27d861f5","1","2","203506","https://p.scdn.co/mp3-preview/9569a22ff3bc9dae67006bb013b14518cce95d4b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","36","QZN882078310","spotify:user:","2023-08-15T10:05:21Z"
"spotify:track:413TqL1pfFGw5lMiMlOL7M","UNIVERSE","spotify:artist:52pcFWBKzTZUCJrBizvl1y, spotify:artist:6uBNJwADs2esWMFezi5Eb2","Maydien, Mitchell Yard","spotify:album:6aCc7HDfOYtyDUg9O49IJV","UNIVERSE","spotify:artist:52pcFWBKzTZUCJrBizvl1y, spotify:artist:6uBNJwADs2esWMFezi5Eb2","Maydien, Mitchell Yard","2022-11-18","https://i.scdn.co/image/ab67616d0000b273943e3f87f08c24a7b81edad2","1","1","161036","https://p.scdn.co/mp3-preview/4aa0ce8c55ddc2591a9db5fe5c90e540f9ece17c?cid=9950ac751e34487dbbe027c4fd7f8e99","true","21","NLSB72200967","spotify:user:","2023-08-15T10:05:21Z"
"spotify:track:01D8jKhuqAaqcH0oIYfaTI","Cruel","spotify:artist:13Kd75NSHSp9lB4CaqPMOV, spotify:artist:3W9UldYu0xJcaOAw2SUTDI","Ta-ku, Panama","spotify:album:1JliHQl2IVFtlHb0Yn5foT","Cruel","spotify:artist:13Kd75NSHSp9lB4CaqPMOV, spotify:artist:3W9UldYu0xJcaOAw2SUTDI","Ta-ku, Panama","2020-08-21","https://i.scdn.co/image/ab67616d0000b2730be5e1ad475550ccd2157168","1","1","212088","https://p.scdn.co/mp3-preview/846170aa3e9d03a56cc6c415dc087b38769e4670?cid=9950ac751e34487dbbe027c4fd7f8e99","false","37","AUFF02000048","spotify:user:","2023-08-15T10:05:21Z"
"spotify:track:3TF88ctEjrExw40EZ1kSMA","KYWK","spotify:artist:3kf01riKEcjHq6eiATvWT1","IYAMAH","spotify:album:6qQwtFjsmxSzTdJ6fsaYzd","Truth EP. 2","spotify:artist:3kf01riKEcjHq6eiATvWT1","IYAMAH","2020-10-30","https://i.scdn.co/image/ab67616d0000b2730846dec962b426b3065ba50b","1","6","167368","https://p.scdn.co/mp3-preview/ed9e4098396cd3774573155e9bbc5b9bead9248d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","GBKPL2022209","spotify:user:","2023-08-15T10:05:21Z"
"spotify:track:1H7bJtyOzttvsQ9HDvYtui","Some More Time","spotify:artist:2Nj4ggzoUqfVAiE9sVRmSo","Cero Ismael","spotify:album:6F7uZKDs56o0g3lUHpYEiZ","Some More Time","spotify:artist:2Nj4ggzoUqfVAiE9sVRmSo","Cero Ismael","2020-11-04","https://i.scdn.co/image/ab67616d0000b273546721f69683d5559ff1807e","1","1","217249","https://p.scdn.co/mp3-preview/6a5e022e2760ed945fb5f25889567b75f170f51e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","29","NL4GW2000003","spotify:user:","2023-08-15T10:05:21Z"
