,Track URI,Track Name,Artist URI(s),Artist Name(s),Album URI,Album Name,Album Artist URI(s),Album Artist Name(s),Album Release Date,Album Image URL,Disc Number,Track Number,Track Duration (ms),Track Preview URL,Explicit,Popularity,ISRC,Added By,Added At
333,spotify:track:6qs65QT6iJtaMINbM05qKb,All In,"spotify:artist:7qplXWyxHyxChnW37jxBxt, spotify:artist:6NvLDPalJ0Xdf58b6JABvn, spotify:artist:12Br190pgwwhEjMY1ResUN","Dualities, Vide, Ynnox",spotify:album:4XSDf8GifLHvDV3WnTQQGX,All In,"spotify:artist:7qplXWyxHyxChnW37jxBxt, spotify:artist:6NvLDPalJ0Xdf58b6JABvn, spotify:artist:12Br190pgwwhEjMY1ResUN","Dualities, Vide, Ynnox",2023-08-04,https://i.scdn.co/image/ab67616d0000b273c97cac73d0f28734471e2262,1,1,159467,https://p.scdn.co/mp3-preview/9c52cad4ce632ed10f1507bb303fb2ce7f91c57b?cid=9950ac751e34487dbbe027c4fd7f8e99,False,48,BE8LH2300152,spotify:user:9farmipw0i9o1k4qcmvqg3dcv,2023-08-03T14:03:13Z
334,spotify:track:6W9qtw3ddhkYznaOxB50p8,The Feeling,spotify:artist:7f5Zgnp2spUuuzKplmRkt7,Lost Frequencies,spotify:album:4Ec0qA1sxuX6vrViAwkxxG,The Feeling,spotify:artist:7f5Zgnp2spUuuzKplmRkt7,Lost Frequencies,2023-06-09,https://i.scdn.co/image/ab67616d0000b273104966d0854fa0aedd6d5050,1,1,153449,https://p.scdn.co/mp3-preview/78c8d7dc3bd9fb4d6efd18175a71ac5f2c5152da?cid=9950ac751e34487dbbe027c4fd7f8e99,False,82,BEHP42300013,spotify:user:9farmipw0i9o1k4qcmvqg3dcv,2023-07-18T14:20:29Z
335,spotify:track:0pvt2whYo5OwNTp3a7aO4K,Sign Your Name,"spotify:artist:1sjWKELAkS7YhlRImhXxXC, spotify:artist:3DhNE8zNvYOkXuHaO1ir0Q","W.D.C, Raquel Reno",spotify:album:47D9WShtA7rIgVnCAzFcqv,Sign Your Name,"spotify:artist:1sjWKELAkS7YhlRImhXxXC, spotify:artist:3DhNE8zNvYOkXuHaO1ir0Q","W.D.C, Raquel Reno",2023-06-02,https://i.scdn.co/image/ab67616d0000b2737f09bd79a06a5cdae0c5db96,1,1,149962,https://p.scdn.co/mp3-preview/2806d6e3bf243f0f6c1bfbdbdb6a36ba55f34888?cid=9950ac751e34487dbbe027c4fd7f8e99,False,53,FRX872322581,spotify:user:9farmipw0i9o1k4qcmvqg3dcv,2023-07-18T14:20:29Z
336,spotify:track:5W8wJVjLdQanAq7boqQ7c8,Sunny,"spotify:artist:0uGApGjjFXKwUOAqYBeX7B, spotify:artist:2LoibTtixf5tjTYORAxbtN","Deepend, LAST CALL",spotify:album:70ImqBrmjV9moSCW91NRXF,Sunny,"spotify:artist:0uGApGjjFXKwUOAqYBeX7B, spotify:artist:2LoibTtixf5tjTYORAxbtN","Deepend, LAST CALL",2023-05-12,https://i.scdn.co/image/ab67616d0000b2733a5d8ed6631118a64586b859,1,1,164262,https://p.scdn.co/mp3-preview/2c4f05ee0dd37ddffc61385065d5cbbf3a5b5bad?cid=9950ac751e34487dbbe027c4fd7f8e99,False,58,NLYK92300055,spotify:user:9farmipw0i9o1k4qcmvqg3dcv,2023-07-18T14:20:29Z
337,spotify:track:2jneHUnZs2XmuwwuW1qF2i,Faded,"spotify:artist:7qB2easTNF1byZVSesD39n, spotify:artist:2Du67wvPTzzJ2LcmiHEOHK, spotify:artist:0nsuOzFcHamK5twzmUszGD","Pierre Leck, Feather, Ricca",spotify:album:6Ynm1Qd6sYodfoMEo8ErJt,Faded,"spotify:artist:7qB2easTNF1byZVSesD39n, spotify:artist:2Du67wvPTzzJ2LcmiHEOHK, spotify:artist:0nsuOzFcHamK5twzmUszGD","Pierre Leck, Feather, Ricca",2023-08-11,https://i.scdn.co/image/ab67616d0000b273d3a9cce7318f9d06e493cc8e,1,1,130483,https://p.scdn.co/mp3-preview/1484832f886e3efd07541d516d8807257ecd8f18?cid=9950ac751e34487dbbe027c4fd7f8e99,False,49,BE8LH2300123,spotify:user:9farmipw0i9o1k4qcmvqg3dcv,2023-08-10T12:17:12Z
338,spotify:track:7aaVYuWDKTrCTr9nIeh8xy,How You Samba,"spotify:artist:4LcUpNlXFEleaLlelmkv2R, spotify:artist:0haZhu4fFKt0Ag94kZDiz2, spotify:artist:0Tob4H0FLtEONHU1MjpUEp","Kris Kross Amsterdam, Sofía Reyes, Tinie Tempah",spotify:album:2r8k40LAmVrgT1c3aklnnj,How You Samba,"spotify:artist:4LcUpNlXFEleaLlelmkv2R, spotify:artist:0haZhu4fFKt0Ag94kZDiz2, spotify:artist:0Tob4H0FLtEONHU1MjpUEp","Kris Kross Amsterdam, Sofía Reyes, Tinie Tempah",2023-05-12,https://i.scdn.co/image/ab67616d0000b273e6d5c6327db896539449c7a0,1,1,151680,https://p.scdn.co/mp3-preview/f7badaad8c1cc84d715341f1320a9ac0c9428091?cid=9950ac751e34487dbbe027c4fd7f8e99,False,59,NLS242200167,spotify:user:9farmipw0i9o1k4qcmvqg3dcv,2023-07-18T14:20:29Z
339,spotify:track:1HSBY0RE79PdG79cxXguTf,Dynamite,"spotify:artist:0N6fCdc4H9CuUysWoCb9FC, spotify:artist:2WHKOM9mlVBFVyLloTzFYA","Thom Merlin, Raphael DeLove",spotify:album:1fJew3jOADon9ndCAtOVLB,Dynamite,"spotify:artist:0N6fCdc4H9CuUysWoCb9FC, spotify:artist:2WHKOM9mlVBFVyLloTzFYA","Thom Merlin, Raphael DeLove",2023-08-11,https://i.scdn.co/image/ab67616d0000b273895193375dd29646fc298d87,1,1,158467,https://p.scdn.co/mp3-preview/9a796f918dc66b1a0bafdf09ed7b7eec0e3a6435?cid=9950ac751e34487dbbe027c4fd7f8e99,False,50,BE8LH2300151,spotify:user:9farmipw0i9o1k4qcmvqg3dcv,2023-08-10T12:25:33Z
340,spotify:track:0xc4ODKuFf11SjYBLUoQUD,Envy Me,spotify:artist:0QmyeiU8zjcckReXT6sjuT,Samira,spotify:album:2i0KPUHQX0ujQ3gq4NwQ7j,Envy Me,spotify:artist:0QmyeiU8zjcckReXT6sjuT,Samira,2023-07-20,https://i.scdn.co/image/ab67616d0000b2735132aaf3a0e4eb6d5163c218,1,1,171493,https://p.scdn.co/mp3-preview/8ef4ed81094ae5217c11746118ebb5a2ee915920?cid=9950ac751e34487dbbe027c4fd7f8e99,False,42,QM7282398491,spotify:user:9farmipw0i9o1k4qcmvqg3dcv,2023-08-16T09:32:18Z
341,spotify:track:2F2p7b5Xq20mRyEeWYaeUF,Substitution (feat. Julian Perretta),"spotify:artist:2WBJQGf1bT1kxuoqziH5g4, spotify:artist:7keGfmQR4X5w0two1xKZ7d, spotify:artist:2JLl6rSFWx9YuSPLcLhkAG","Purple Disco Machine, Kungs, Julian Perretta",spotify:album:4yZMAPI2NazKbPbystE6D7,Substitution (feat. Julian Perretta),"spotify:artist:2WBJQGf1bT1kxuoqziH5g4, spotify:artist:7keGfmQR4X5w0two1xKZ7d, spotify:artist:2JLl6rSFWx9YuSPLcLhkAG","Purple Disco Machine, Kungs, Julian Perretta",2023-03-30,https://i.scdn.co/image/ab67616d0000b273a8bcf8fac8520ac2cbf72ea7,1,1,181477,https://p.scdn.co/mp3-preview/11f3f82e39b5fdba958a25a10d6c8d22e6bdab8c?cid=9950ac751e34487dbbe027c4fd7f8e99,False,85,DEE862300093,spotify:user:9farmipw0i9o1k4qcmvqg3dcv,2023-07-18T14:20:29Z
342,spotify:track:0WtM2NBVQNNJLh6scP13H8,Calm Down (with Selena Gomez),"spotify:artist:46pWGuE3dSwY3bMMXGBvVS, spotify:artist:0C8ZW7ezQVs4URX5aX7Kqx","Rema, Selena Gomez",spotify:album:2b2GHWESCWEuHiCZ2Skedp,Calm Down (with Selena Gomez),"spotify:artist:46pWGuE3dSwY3bMMXGBvVS, spotify:artist:0C8ZW7ezQVs4URX5aX7Kqx","Rema, Selena Gomez",2022-08-25,https://i.scdn.co/image/ab67616d0000b273a3a7f38ea2033aa501afd4cf,1,1,239317,https://p.scdn.co/mp3-preview/b61b32e2928081fc98d438fd8c72919ab4fb12a4?cid=9950ac751e34487dbbe027c4fd7f8e99,False,92,NGA3B2214021,spotify:user:9farmipw0i9o1k4qcmvqg3dcv,2023-07-18T14:20:29Z
